layer,kv_head,q_heads,score_sum,score_mean_q,score_max_q,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations,sparse_rank,u_rank,sparse_quantile
25,1,7-13,772.0948930506357,110.2992704358051,134.07113909620227,0.8313292716187972,0.8428860580299946,0.4093845740189429,0.0216627893596456,0.4792797853971128,0.0878390261174152,0.557843615487218,0.6242795018479228,80,21,41,Q5_high
25,2,14-20,0.2953663915060974,0.0421951987865853,0.2953663915060974,0.6970722882979309,0.6575235392530521,0.3894669024471146,0.0214164049000268,0.5148671715201643,0.1385098848575525,0.4868460418307222,0.5792878415668383,80,88,84,Q2
25,3,21-27,936.8904141898946,133.84148774141352,779.8695329857139,0.6778483979857047,0.6568323988543721,0.3699542095308791,0.0220379091252492,0.499227765616455,0.1120327766826452,0.4975441533140838,0.6084345624782145,80,18,89,Q5_high
26,0,0-6,605.9186339821938,86.55980485459911,119.05456790209752,0.911444154795525,0.9126118285336624,0.5548811026747178,0.0217890193493499,0.6037407302300382,0.120248382667605,0.4609844833612442,0.5064017622731626,80,26,14,Q4
26,1,7-13,200.26273595805625,28.60896227972232,141.7848513341922,0.9376187777071112,0.9486789791821788,0.6241632278589295,0.0221240082931066,0.6604304325180428,0.1572554398703743,0.4555402238853275,0.5329253314062953,80,45,11,Q4
26,2,14-20,1385.728649564957,197.9612356521368,479.5254815227144,0.855311548974554,0.861879735290101,0.517670053599719,0.021679001903055,0.5940441179888791,0.1191168077820514,0.4621536443009972,0.5183024026453495,80,10,30,Q5_high
26,3,21-27,356.05748475602604,50.86535496514658,257.3469545736684,0.6783384740709791,0.6900537332140791,0.3701815682482166,0.0214853975707472,0.5059687869815265,0.1072241939328182,0.4181769712362438,0.5115463471505791,80,35,88,Q4
27,0,0-6,983.9567030641208,140.5652432948744,272.31216619559086,0.8950801102242968,0.9049883804002956,0.492711846208943,0.0215645151472448,0.5415652027230634,0.114896199869556,0.5998930690810085,0.6660266263410449,80,17,21,Q5_high
27,1,7-13,1.413398477909446,0.201914068272778,0.4426277397392749,0.6747150444672999,0.6138726923861235,0.3874913035133515,0.0215489920844905,0.5329198990606449,0.1290612658200725,0.463026700695318,0.5264739575190902,80,81,93,Q2
27,2,14-20,1455.9245795514648,207.98922565020925,324.963628569185,0.8755526766138372,0.8838233883211128,0.44152754556507,0.0219405415035036,0.4927679610574064,0.0864870936240356,0.5877267147414387,0.6511996623128653,80,8,23,Q5_high
27,3,21-27,999.6440651789284,142.8062950255612,220.757946847163,0.8644393221081795,0.8692571300620386,0.4231362961066574,0.0215117775172931,0.4780543951501287,0.104502420817098,0.6003485633991659,0.6706930108368396,80,16,26,Q5_high
