class,bin,x,mean_density,local_density,global_density
memory,25,0.1275,2.2352337075401154e-06,2.7195674897632066e-06,1.7508999253170242e-06
memory,26,0.1325,1.932943649487138e-06,2.396715444070978e-06,1.4691718549032982e-06
memory,27,0.1375,1.4832273682394903e-06,1.8271317682734814e-06,1.1393229682054994e-06
memory,28,0.14250000000000002,1.2712119006445973e-06,1.5760718474149888e-06,9.663519538742056e-07
memory,29,0.1475,1.4291929293825483e-06,1.7547069123889304e-06,1.1036789463761663e-06
memory,30,0.1525,1.0954558155938023e-06,1.3652512420898283e-06,8.256603890977764e-07
memory,31,0.1575,1.2761111708462488e-06,1.5737759966327758e-06,9.784463450597219e-07
memory,32,0.1625,1.1976299678034314e-06,1.4781949308001403e-06,9.170650048067226e-07
memory,33,0.1675,1.3512825119864726e-06,1.663258440967272e-06,1.039306583005673e-06
memory,34,0.17250000000000001,1.1894119347960836e-06,1.4838688246397526e-06,8.949550449524144e-07
memory,35,0.17750000000000002,1.7558648301333023e-06,2.1698584030628343e-06,1.3418712572037701e-06
memory,36,0.1825,1.678901546998578e-06,2.0625600815161636e-06,1.2952430124809924e-06
memory,37,0.1875,1.8194075984790845e-06,2.2464669013092218e-06,1.3923482956489475e-06
memory,38,0.1925,2.8542027871098015e-06,3.608867478378995e-06,2.099538095840608e-06
memory,39,0.1975,3.4508717405378446e-05,4.3184769177921075e-05,2.583266563283581e-05
memory,40,0.2025,0.00014446756117901473,0.00017177828242426413,0.00011715683993376534
memory,41,0.20750000000000002,4.816781184314766e-06,5.880189964176378e-06,3.753372404453153e-06
memory,42,0.2125,3.0576506739876663e-06,3.649140954961497e-06,2.466160393013836e-06
memory,43,0.2175,0.0008573094450636521,0.0009899959418067123,0.0007246229483205917
memory,44,0.2225,1.0296888155424212e-05,1.3390200697410199e-05,7.2035756134382255e-06
memory,45,0.2275,4.775203302605783e-06,6.1010066326764295e-06,3.4493999725351362e-06
memory,46,0.2325,4.104991138997438e-06,5.232891390185366e-06,2.977090887809511e-06
memory,47,0.23750000000000002,2.763383807679144e-06,3.461756259034169e-06,2.0650113563241187e-06
memory,48,0.2425,2.1034139238685377e-06,2.637842216726513e-06,1.5689856310105623e-06
memory,49,0.2475,2.4547025567294617e-06,3.0811599428973264e-06,1.828245170561597e-06
memory,50,0.2525,2.3094973635671203e-06,2.950131046419868e-06,1.6688636807143725e-06
memory,51,0.2575,2.9188331019817235e-06,3.771885575316718e-06,2.065780628646729e-06
memory,52,0.2625,2.7549751403005924e-06,3.516792615643338e-06,1.9931576649578464e-06
memory,53,0.2675,3.0304390581814123e-06,3.7786873008371913e-06,2.2821908155256333e-06
memory,54,0.2725,2.3389118652701585e-06,2.931645250460955e-06,1.7461784800793617e-06
memory,55,0.2775,2.6718166982287914e-06,3.3558537458625855e-06,1.9877796505949974e-06
memory,56,0.28250000000000003,2.4975935508970385e-06,3.122189492179226e-06,1.872997609614851e-06
memory,57,0.28750000000000003,2.8390416593107123e-06,3.568519813983313e-06,2.1095635046381117e-06
memory,58,0.2925,3.2578064958668594e-06,4.020448828298443e-06,2.4951641634352762e-06
memory,59,0.2975,3.239277084095686e-06,4.022020881400855e-06,2.456533286790516e-06
memory,60,0.3025,4.402034679838397e-06,5.352191344251004e-06,3.451878015425791e-06
memory,61,0.3075,4.2959555542105524e-06,5.3125763642100675e-06,3.2793347442110373e-06
memory,62,0.3125,3.359855026623854e-06,4.203306678187777e-06,2.5164033750599316e-06
memory,63,0.3175,8.644996090718498e-06,1.111446312199712e-05,6.175529059439875e-06
memory,64,0.3225,6.061111619530564e-06,8.245805959701374e-06,3.876417279359755e-06
memory,65,0.3275,1.9882630842171356e-06,2.554552176511075e-06,1.4219739919231963e-06
memory,66,0.3325,1.6632187514342267e-06,2.1785644703642558e-06,1.1478730325041975e-06
memory,67,0.3375,1.280566507390389e-06,1.5931975918623745e-06,9.679354229184036e-07
memory,68,0.3425,9.532304830840631e-07,1.1814054650693384e-06,7.250555010987878e-07
memory,69,0.34750000000000003,1.3488078863219159e-06,1.6903958826059966e-06,1.0072198900378349e-06
memory,70,0.35250000000000004,1.0840616996515623e-06,1.382170044702694e-06,7.859533546004307e-07
memory,71,0.3575,1.499181691643016e-06,1.9213571878903428e-06,1.0770061953956888e-06
memory,72,0.3625,1.3919970048891185e-06,1.798105835539652e-06,9.85888174238585e-07
memory,73,0.3675,1.6564681434424336e-06,2.180777404915589e-06,1.1321588819692782e-06
memory,74,0.3725,2.054875194838209e-06,2.6880930681948946e-06,1.4216573214815236e-06
memory,75,0.3775,1.3609313000984002e-06,1.7561891375713492e-06,9.656734626254512e-07
memory,76,0.3825,1.7240406175578637e-06,2.186898597103634e-06,1.2611826380120933e-06
memory,77,0.3875,1.2007666638895628e-06,1.5013562818478919e-06,9.001770459312335e-07
memory,78,0.3925,1.759162850276e-06,2.185649825258685e-06,1.332675875293315e-06
memory,79,0.3975,1.4864927356329971e-06,1.8488354589161551e-06,1.124150012349839e-06
memory,80,0.4025,4.632258225947203e-06,5.515044017335179e-06,3.7494724345592273e-06
memory,81,0.40750000000000003,3.345545051496918e-06,4.08949975053105e-06,2.6015903524627853e-06
memory,82,0.41250000000000003,7.958670845770536e-06,9.900915925642605e-06,6.016425765898469e-06
